,HighAlphaSpectrum,LowBetaSpectrum,HighAlphaMagnitude,LowBetaMagnitude,HighAlphaPhase,LowBetaPhase
0,(0.7916030459946077+0j),(1.1009993013391197+0j),(0.7916030459946077+0j),(1.1009993013391197+0j),0j,0j
1,(-0.48449519515312384-0.23268126228670755j),(-0.03391900064659363-0.07101905234696838j),(0.5374720122441717+0j),(0.07870326804602877+0j),(-2.6938654119103744+0j),(-2.0163673451591455+0j)
2,(0.08609373640243456+0.06280349700221437j),(-0.025542313658172777+0.10718703199153211j),(0.10656646134426645+0j),(0.11018833701515876+0j),(0.6302372200667012+0j),(1.8047301321396871+0j)
3,(0.013076964756130821+0.13435705071717147j),(-0.1472857342819338-0.2514075158465159j),(0.1349919408137007+0j),(0.29137403203972134+0j),(1.473771983063828+0j),(-2.1007424147651026+0j)
4,(-0.045539231571541064-0.08040176887688241j),(0.12558206580096096-0.19625247972444926j),(0.0924027383287858+0j),(0.2329933283354531+0j),(-2.086140350369837+0j),(-1.0015537049577667+0j)
5,(0.09448306178155347+0j),(-0.28347612306786757+0j),(0.09448306178155347+0j),(0.28347612306786757+0j),0j,(3.141592653589793+0j)
6,(-0.045539231571541064+0.08040176887688241j),(0.12558206580096096+0.19625247972444926j),(0.0924027383287858+0j),(0.2329933283354531+0j),(2.086140350369837+0j),(1.0015537049577667+0j)
7,(0.013076964756130877-0.1343570507171715j),(-0.1472857342819338+0.2514075158465159j),(0.13499194081370072+0j),(0.29137403203972134+0j),(-1.4737719830638276+0j),(2.1007424147651026+0j)
8,(0.08609373640243456-0.06280349700221437j),(-0.025542313658172777-0.10718703199153211j),(0.10656646134426645+0j),(0.11018833701515876+0j),(-0.6302372200667012+0j),(-1.8047301321396871+0j)
9,(-0.4844951951531238+0.23268126228670755j),(-0.03391900064659362+0.07101905234696837j),(0.5374720122441717+0j),(0.07870326804602876+0j),(2.693865411910374+0j),(2.0163673451591455+0j)
